"Date" "Time" "Price" "Volume"
"2024-01-31" "09:30:00" 101.7 22136
"2024-01-31" "09:31:00" 101.84 20917
"2024-01-31" "09:32:00" 101.01 21205
"2024-01-31" "09:33:00" 100.34 20990
"2024-01-31" "09:34:00" 100.99 21799
"2024-01-31" "09:35:00" 100.84 22609
"2024-01-31" "09:36:00" 101.17 21486
"2024-01-31" "09:37:00" 101.97 22732
"2024-01-31" "09:38:00" 101.08 21553
"2024-01-31" "09:39:00" 100.68 22341
"2024-01-31" "09:40:00" 100.07 22367
"2024-01-31" "09:41:00" 101.05 21761
"2024-01-31" "09:42:00" 101.7 22163
"2024-01-31" "09:43:00" 101.02 22379
"2024-01-31" "09:44:00" 101.94 20839
"2024-01-31" "09:45:00" 102.79 20110
"2024-01-31" "09:46:00" 103.14 20977
"2024-01-31" "09:47:00" 100.53 20327
"2024-01-31" "09:48:00" 100.41 21899
"2024-01-31" "09:49:00" 100.23 23466
"2024-01-31" "09:50:00" 100.81 22640
"2024-01-31" "09:51:00" 101.79 22524
"2024-01-31" "09:52:00" 100.66 20287
"2024-01-31" "09:53:00" 102.09 21768
"2024-01-31" "09:54:00" 102.94 20262
"2024-01-31" "09:55:00" 100.84 22442
"2024-01-31" "09:56:00" 100.74 21561
"2024-01-31" "09:57:00" 99.86 21521
"2024-01-31" "09:58:00" 99.63 21615
"2024-01-31" "09:59:00" 101.67 22984
"2024-01-31" "10:00:00" 101.78 21382
"2024-01-31" "10:01:00" 100.69 19378
"2024-01-31" "10:02:00" 100.85 19262
"2024-01-31" "10:03:00" 100.3 21489
"2024-01-31" "10:04:00" 99.67 20404
"2024-01-31" "10:05:00" 101.03 21335
"2024-01-31" "10:06:00" 99.11 21049
"2024-01-31" "10:07:00" 100.54 21640
"2024-01-31" "10:08:00" 100.66 20846
"2024-01-31" "10:09:00" 100.68 21361
"2024-01-31" "10:10:00" 101.94 22856
"2024-01-31" "10:11:00" 100.83 22405
"2024-01-31" "10:12:00" 101.75 21964
"2024-01-31" "10:13:00" 100.88 20828
"2024-01-31" "10:14:00" 100.22 20576
"2024-01-31" "10:15:00" 100.92 20946
"2024-01-31" "10:16:00" 102.13 21429
"2024-01-31" "10:17:00" 103.18 21517
"2024-01-31" "10:18:00" 101.41 22482
"2024-01-31" "10:19:00" 100.68 21931
"2024-01-31" "10:20:00" 100.15 21773
"2024-01-31" "10:21:00" 99.86 21713
"2024-01-31" "10:22:00" 97.76 21787
"2024-01-31" "10:23:00" 99.33 20777
"2024-01-31" "10:24:00" 100.66 21284
"2024-01-31" "10:25:00" 101.77 22156
"2024-01-31" "10:26:00" 103.64 21360
"2024-01-31" "10:27:00" 102.86 21164
"2024-01-31" "10:28:00" 103.36 21847
"2024-01-31" "10:29:00" 102.68 21722
"2024-01-31" "10:30:00" 101.85 20979
"2024-01-31" "10:31:00" 102.44 18769
"2024-01-31" "10:32:00" 101.42 19742
"2024-01-31" "10:33:00" 102.31 19658
"2024-01-31" "10:34:00" 103 20848
"2024-01-31" "10:35:00" 102.19 22798
"2024-01-31" "10:36:00" 102.63 21592
"2024-01-31" "10:37:00" 101.96 22337
"2024-01-31" "10:38:00" 102.86 20871
"2024-01-31" "10:39:00" 103.55 21234
"2024-01-31" "10:40:00" 103.47 19014
"2024-01-31" "10:41:00" 102.11 18686
"2024-01-31" "10:42:00" 100.38 17346
"2024-01-31" "10:43:00" 99.83 19440
"2024-01-31" "10:44:00" 99.3 19593
"2024-01-31" "10:45:00" 99.04 20405
"2024-01-31" "10:46:00" 100.2 22020
"2024-01-31" "10:47:00" 100.52 19634
"2024-01-31" "10:48:00" 100.18 18573
"2024-01-31" "10:49:00" 101.11 20546
"2024-01-31" "10:50:00" 100.07 20876
"2024-01-31" "10:51:00" 100.15 20748
"2024-01-31" "10:52:00" 100.32 20414
"2024-01-31" "10:53:00" 102.4 18673
"2024-01-31" "10:54:00" 102.01 19112
"2024-01-31" "10:55:00" 101.22 18246
"2024-01-31" "10:56:00" 101.02 20538
"2024-01-31" "10:57:00" 97.58 20042
"2024-01-31" "10:58:00" 98.16 19763
"2024-01-31" "10:59:00" 97.13 19879
"2024-01-31" "11:00:00" 98.7 21460
"2024-01-31" "11:01:00" 98.68 21511
"2024-01-31" "11:02:00" 98.28 23404
"2024-01-31" "11:03:00" 97.48 23333
"2024-01-31" "11:04:00" 96.71 21289
"2024-01-31" "11:05:00" 95.35 21955
"2024-01-31" "11:06:00" 94.96 21958
"2024-01-31" "11:07:00" 95.11 20646
"2024-01-31" "11:08:00" 95.41 22619
"2024-01-31" "11:09:00" 96.83 21652
"2024-01-31" "11:10:00" 98.14 21938
"2024-01-31" "11:11:00" 98.63 21376
"2024-01-31" "11:12:00" 95.82 19374
"2024-01-31" "11:13:00" 96.67 20396
"2024-01-31" "11:14:00" 96.49 19806
"2024-01-31" "11:15:00" 96.63 20163
"2024-01-31" "11:16:00" 96.36 19687
"2024-01-31" "11:17:00" 98.33 19858
"2024-01-31" "11:18:00" 96.81 22123
"2024-01-31" "11:19:00" 97.06 19712
"2024-01-31" "11:20:00" 96.38 20021
"2024-01-31" "11:21:00" 96.49 20765
"2024-01-31" "11:22:00" 98.8 19236
"2024-01-31" "11:23:00" 99.21 20208
"2024-01-31" "11:24:00" 98.31 19092
"2024-01-31" "11:25:00" 98.04 19292
"2024-01-31" "11:26:00" 98.01 20910
"2024-01-31" "11:27:00" 97.75 21439
"2024-01-31" "11:28:00" 96.87 20971
"2024-01-31" "11:29:00" 97.28 20563
"2024-01-31" "11:30:00" 97.32 18715
"2024-01-31" "11:31:00" 99.58 19682
"2024-01-31" "11:32:00" 99.53 19333
"2024-01-31" "11:33:00" 99.39 20706
"2024-01-31" "11:34:00" 98.99 19305
"2024-01-31" "11:35:00" 101.09 19541
"2024-01-31" "11:36:00" 99.45 20257
"2024-01-31" "11:37:00" 99.47 21588
"2024-01-31" "11:38:00" 99.65 19496
"2024-01-31" "11:39:00" 99.73 20544
"2024-01-31" "11:40:00" 101.33 20399
"2024-01-31" "11:41:00" 101.2 19650
"2024-01-31" "11:42:00" 101.64 17942
"2024-01-31" "11:43:00" 101.65 18517
"2024-01-31" "11:44:00" 99.98 18971
"2024-01-31" "11:45:00" 102.03 19907
"2024-01-31" "11:46:00" 103.16 19749
"2024-01-31" "11:47:00" 102.61 18710
"2024-01-31" "11:48:00" 102.46 18998
"2024-01-31" "11:49:00" 103.55 20024
"2024-01-31" "11:50:00" 104.03 20617
"2024-01-31" "11:51:00" 103.14 18781
"2024-01-31" "11:52:00" 100.87 20644
"2024-01-31" "11:53:00" 101.99 20549
"2024-01-31" "11:54:00" 102.21 20678
